Issue ID,Project Key,Issue Type,Summary,Description,Priority,Status,Labels,Components,Parent ID,Epic ID,Epic Name,Story Points,Depends On,Acceptance Criteria,Source Reference,Assignee,Due Date,Fix Version
S12,PROJECT_KEY,Story,Build bilingual annual statutory report pack,Produce the CA-approved annual statement package in Nepali fiscal periods with configured BS/both dates.,High,Blocked,"statutory,reporting,bikram-sambat",Accounting,,E5,,5,S7; S9; S10; S11; CA language decision,Full year-end package is generated and accepted by the CA; figures trace to journals.,NEPAL-ACCOUNTING-BUILD-PLAN.md Phase D,,2027-02-15,FY2084-golive
E6,PROJECT_KEY,Epic,Quality upgrades and supply-chain assurance,Protect the custom modules from regressions upgrade failures and untracked third-party drift.,High,To Do,"quality,testing,upgrade,supply-chain",Engineering,,,Quality upgrades and supply-chain assurance,,,Fresh installs upgrades and critical accounting/reporting paths are repeatably verified.,docs/project-review/TECHNICAL_DEBT.md; custom_addons/VENDORED.md,,2027-05-31,FY2084-golive
S13,PROJECT_KEY,Story,Expand deterministic automated test coverage,Replace residual environment-dependent behavior with fixtures and cover JS XML monetary and report-rendering paths.,High,To Do,"testing,quality",Engineering,,E6,,5,,Tests are deterministic from a clean database and report skips as failures where required.,docs/project-review/ROADMAP.md; docs/project-review/TESTING.md,,2027-05-31,FY2084-golive
ST26,PROJECT_KEY,Sub-task,Add JavaScript BS and workflow tests,Cover date widgets BS preference report behavior and client-side regression paths.,High,To Do,"testing,javascript,bikram-sambat",Engineering,S13,E6,,3,,Relevant JS suites run in CI and catch a broken BS rendering path.,docs/bs-calendar/TEST_PLAN.md,,2027-05-31,FY2084-golive
ST27,PROJECT_KEY,Sub-task,Standardize XML and monetary assertions,Adopt shared XML well-formedness and precision-safe monetary assertion helpers across local modules.,Medium,To Do,"testing,xml,accounting",Engineering,S13,E6,,3,,All local module XML is covered; money tests do not rely on binary float equality.,docs/project-review/JIRA_BACKLOG.md TASK-10 TASK-11,,2027-05-31,FY2084-golive
T5,PROJECT_KEY,Task,Create upgrade rehearsal and migration policy,Define module versioning migration scaffolding and a scratch upgrade rehearsal that protects data and translations.,High,To Do,"upgrade,migration,translations",Engineering,,E6,,3,S13,Upgrade rehearsal completes from a production-like copy; translations survive; version/migration checks are documented.,docs/project-review/ODOO_REVIEW.md; docs/project-review/TODO_REGISTER.md,,2027-05-31,FY2084-golive
ST28,PROJECT_KEY,Sub-task,Pin vendored OCA provenance,Record exact upstream SHAs license and local overlay rationale for each vendored dependency.,Medium,To Do,"supply-chain,oca,license",Engineering,T5,E6,,2,,Every vendored module maps to immutable source SHA license and approved local overlay.,custom_addons/VENDORED.md,,2027-05-31,FY2084-golive
ST29,PROJECT_KEY,Sub-task,Run translation-preserving upgrade rehearsal,Exercise module upgrade and verify generated Nepal translations and report assets remain present.,High,To Do,"upgrade,translations,testing",Engineering,T5,E6,,3,ST28,Rehearsal evidence identifies command output translation counts and remediation steps.,docs/project-review/PRODUCTION_READINESS.md,,2027-05-31,FY2084-golive
SP2,PROJECT_KEY,Spike,Decide AGPL and Odoo core supply policy,Obtain legal and engineering decision for AGPL obligations and the supported Odoo core update source.,High,To Do,"license,supply-chain,legal",Engineering,,E6,,3,Legal counsel,Decision records distribution obligations core source pinning and security-update process.,docs/project-review/JIRA_BACKLOG.md SPIKE-1 SPIKE-2,,2027-05-31,FY2084-golive
E7,PROJECT_KEY,Epic,Data lifecycle and disaster recovery governance,Govern production data retention recoverability and approved cleanup decisions.,High,To Do,"data,disaster-recovery,governance",Platform,,,Data lifecycle and disaster recovery governance,,,Production data has approved retention recovery and disposal controls.,docs/project-review/DATA_AND_INTEGRATIONS.md; docs/project-review/POSTGRESQL.md,,2027-05-31,FY2084-golive
S14,PROJECT_KEY,Story,Define data retention and recovery governance,Document owner-approved retention classification legal hold recovery evidence and secure disposal requirements.,High,To Do,"data,governance,retention",Platform,,E7,,3,Business owner and CA/legal input,Policy covers database filestore backups logs exported reports and credentials; owners are named.,docs/project-review/DATA_AND_INTEGRATIONS.md,,2027-05-31,FY2084-golive
T6,PROJECT_KEY,Task,Approve or retain reconciled orphaned Downloads tree,Make an explicit recoverable cleanup decision for the already-reconciled non-business local Downloads data.,Low,To Do,"data-cleanup,approval",Platform,,E7,,1,S14 approval,"Decision and evidence are recorded; if deleted, removal is confirmed and no business attachment is affected.",docs/project-review/JIRA_BACKLOG.md TASK-4b,,2027-05-31,FY2084-golive
T7,PROJECT_KEY,Task,Audit attachment integrity on recovery cycles,Include attachment byte-read and filestore/database consistency checks in scheduled recovery verification.,High,To Do,"filestore,backup,integrity",Platform,,E7,,2,T1,Recovery verification identifies referenced missing blobs and proves representative business attachment downloads.,docs/project-review/POSTGRESQL.md,,2027-05-31,FY2084-golive
E8,PROJECT_KEY,Epic,Future SaaS multi-tenant platform,Future only: build tenant isolation provisioning lifecycle and scale controls after the single-tenant product is stable.,Medium,Blocked,"future-saas,multi-tenant",Platform,,,Future SaaS multi-tenant platform,,,No tenant is onboarded until isolation lifecycle and recovery gates pass.,docs/project-review/SAAS_MULTI_TENANCY.md,,,Deferred-SaaS
S15,PROJECT_KEY,Story,Write cross-tenant isolation suite before SaaS changes,Create two-real-database tests for routing session records cron mail and administrative boundary isolation.,Medium,Blocked,"future-saas,security,testing",Platform,,E8,,5,Approved SaaS architecture,All isolation tests pass before db_name removal or second tenant provisioning.,docs/project-review/JIRA_BACKLOG.md STORY-5,,,Deferred-SaaS
ST30,PROJECT_KEY,Sub-task,Test hostile database selection paths,Test Host X-Forwarded-Host query db header and authentication database selection against non-matching tenant access.,Medium,Blocked,"future-saas,security",Platform,S15,E8,,3,,Forged routing inputs cannot select another tenant database.,docs/project-review/SAAS_MULTI_TENANCY.md,,,Deferred-SaaS
ST31,PROJECT_KEY,Sub-task,Test session cron and mail containment,Prove tenant A cannot revoke tenant B sessions and a suspended tenant runs no cron or mail.,Medium,Blocked,"future-saas,security,cron",Platform,S15,E8,,3,,Tests demonstrate zero cross-tenant session cron and mail effects.,docs/project-review/JIRA_BACKLOG.md BUG-4 BUG-5,,,Deferred-SaaS
S16,PROJECT_KEY,Story,Implement tenant routing cron and session containment,Apply anchored dbfilter proxy header pinning cron allowlist and chosen session isolation design as one safe release.,Medium,Blocked,"future-saas,security,routing",Platform,,E8,,5,S15; approved architecture,Two tenants route only by real host; no cross-tenant cron/session behavior; all isolation tests pass.,docs/project-review/SAAS_MULTI_TENANCY.md,,,Deferred-SaaS
S17,PROJECT_KEY,Story,Automate tenant provisioning suspension offboarding and restore,Provide audited lifecycle scripts for tenant database filestore mail routing backup restore and secure deletion.,Medium,Blocked,"future-saas,lifecycle,backup",Platform,,E8,,5,S16; T1,A tenant can be provisioned suspended restored and offboarded with no residue and documented evidence.,docs/project-review/SAAS_MULTI_TENANCY.md,,,Deferred-SaaS
S18,PROJECT_KEY,Story,Plan SaaS capacity controls,Introduce PgBouncer and cron scaling only after measured tenant-count thresholds and workload evidence.,Medium,Blocked,"future-saas,performance,postgresql",Platform,,E8,,5,S16; capacity baseline,Connection and cron capacity decisions are based on measured workload and target tenant count.,docs/project-review/ROADMAP.md,,,Deferred-SaaS
E9,PROJECT_KEY,Epic,Regulatory registration and IRD compliance,Establish the statutory permissions required before Odoo may lawfully act as the billing system for a VAT-registered Nepali vendor.,Highest,To Do,"nepal,statutory,ird,registration",Accounting,,,Regulatory registration and IRD compliance,,,Every registration or approval required to operate the billing system lawfully is obtained and evidenced before go-live.,docs/project-review/ACCOUNTING_NEPAL.md,,2026-10-12,FY2084-golive
SP3,PROJECT_KEY,Spike,Establish IRD billing-software approval and CBMS applicability,"Determine with IRD and the engaged CA whether the deployment requires billing-software registration or approval, and whether real-time invoice reporting applies at this turnover band.",Highest,To Do,"ird,compliance,blocked-ca",Accounting,,E9,,3,Named Nepali CA; IRD enquiry,"A written determination states which registrations apply, the application route, the lead time and the evidence required. Nothing is assumed from precedent.",docs/project-review/ACCOUNTING_NEPAL.md,,2026-10-12,FY2084-golive
S19,PROJECT_KEY,Story,Obtain IRD billing-software approval,"Complete whatever registration or approval SP3 identifies, and retain the evidence for audit.",Highest,Blocked,"ird,compliance,blocked-ca",Accounting,,E9,,5,SP3,"Given the determination from SP3, when the application route is followed, then approval is granted and the evidence is retained before the first live invoice is issued.",docs/project-review/ACCOUNTING_NEPAL.md,,2026-10-12,FY2084-golive
T8,PROJECT_KEY,Task,Record entity type PAN and VAT registration in company configuration,"Capture entity type, PAN, VAT registration number and filing frequency on the company record so statutory output can cite them.",Highest,Blocked,"nepal,configuration,blocked-ca",Accounting,,E9,,2,Named Nepali CA,"Given the confirmed entity facts, when a statutory document is rendered, then it carries the correct PAN and registration details from configuration rather than hardcoded text.",NEPAL-ACCOUNTING-BUILD-PLAN.md section 7,,2026-10-12,FY2084-golive
E10,PROJECT_KEY,Epic,Statutory printable output,Produce the physical documents the law requires: a TDS certificate that can be issued to a deductee and a VAT return that can be filed.,Highest,Blocked,"nepal,statutory,reporting,blocked-ca",Accounting,,,Statutory printable output,,,"Every statutory document exists as an approved rendered artefact, not only as a screen record.",custom_addons/l10n_np_tds; custom_addons/l10n_np_vat_return,,2027-02-15,FY2084-golive
S20,PROJECT_KEY,Story,Build TDS certificate report template,"l10n_np_tds has no report directory, no QWeb template and no report action. A certificate must be issuable to the deductee.",Highest,Blocked,"tds,reporting,blocked-ca",Accounting,,E10,,5,SP1; CA-approved certificate layout,"Given an issued certificate, when it is printed, then the PDF carries every mandatory field in the CA-approved layout and the figures tie to the withholding lines.",NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 3,,2027-02-15,FY2084-golive
ST32,PROJECT_KEY,Sub-task,Implement TDS certificate QWeb template and PDF action,"Add a report directory, QWeb template and ir.actions.report to l10n_np_tds.",Highest,Blocked,"tds,qweb",Accounting,S20,E10,,3,,"Given a certificate in issued state, when the print action runs, then HTML and PDF render without error and BS dates honour the company setting.",custom_addons/l10n_np_tds,,2027-02-15,FY2084-golive
ST33,PROJECT_KEY,Sub-task,Obtain CA approval of TDS certificate layout,Register item 3. The figures are correct; the layout has never been reviewed.,Highest,Blocked,"tds,blocked-ca",Accounting,S20,E10,,2,ST32,The CA confirms in writing that the rendered certificate satisfies the statutory format and mandatory fields.,NEPAL-ACCOUNTING-BUILD-PLAN.md section 7 item 3,,2027-02-15,FY2084-golive
S21,PROJECT_KEY,Story,Build VAT return report template,l10n_np_vat_return computes boxes but has no printable output and no filing export.,Highest,Blocked,"vat,ird,reporting,blocked-ca",Accounting,,E10,,5,S9; CA-approved IRD layout,"Given a computed return, when it is printed, then the output reproduces the IRD form box for box and every figure traces to tagged journal lines.",NEPAL-ACCOUNTING-BUILD-PLAN.md Phase B2,,2027-02-15,FY2084-golive
ST34,PROJECT_KEY,Sub-task,Implement VAT return QWeb template and PDF action,"Add a report directory, QWeb template and ir.actions.report to l10n_np_vat_return.",Highest,Blocked,"vat,qweb",Accounting,S21,E10,,3,,"Given a computed return, when the print action runs, then HTML and PDF render with bilingual box labels drawn from the form definition.",custom_addons/l10n_np_vat_return,,2027-02-15,FY2084-golive
